Full Location	Use In Export	File	CN State	Type	Chromosome	Cytoband Start	Cytoband End	Size (kbp)	Marker Count	Gene Count	Genes	OMIM ® Genes Count	OMIM ® Genes	DB Count Both	CytoRegions	Call	Segment Interpretation	Microarray Nomenclature (ISCN 2016)	Curation By	Materially Modified Segment
chr10:34931222-36618981	true	HCC1395_BL.cyhd.cychp		LOH	10	p11.21	p11.21	1687.759	400	8	CUL2, MIR3611, CREM, CCNY, GJD4, FZD8, MIR4683, PCAT5	5	CUL2 (603135), CREM (123812), CCNY (612786), GJD4 (611922), FZD8 (606146)		Cytoregions Not Set			arr[GRCh38] 10p11.21(34931222_36618981) hmz	zyang:zhaowei	false
chr10:72211154-73631420	true	HCC1395_BL.cyhd.cychp		LOH	10	q22.1	q22.2	1420.266	208	22	ASCC1, ANAPC16, DDIT4, DNAJB12, MICU1, MCU, MIR4676, OIT3, PLA2G12B, P4HA1, NUDT13, ECD, FAM149B1, DNAJC9, DNAJC9-AS1, MRPS16, CFAP70, ANXA7, MSS51, PPP3CB, PPP3CB-AS1, USP54	16	ASCC1 (614215), ANAPC16 (613427), DDIT4 (607729), DNAJB12 (608376), MICU1 (605084), MCU (614197), OIT3 (609330), PLA2G12B (611653), P4HA1 (176710), NUDT13 (609233), ECD (616464), DNAJC9 (611206), MRPS16 (609204), ANXA7 (186360), MSS51 (614773), PPP3CB (114106)		Cytoregions Not Set			arr[GRCh38] 10q22.1q22.2(72211154_73631420) hmz	zyang:zhaowei	false
chr10:74088152-75371261	true	HCC1395_BL.cyhd.cychp		LOH	10	q22.2	q22.2	1283.109	221	13	VCL, AP3M1, ADK, LOC102723439, KAT6B, LOC101929165, DUPD1, DUSP13, SAMD8, VDAC2, COMTD1, ZNF503, ZNF503-AS1	8	VCL (193065), AP3M1 (610366), ADK (102750), KAT6B (605880), DUSP13 (613191), SAMD8 (611575), VDAC2 (193245), ZNF503 (613902)		Cytoregions Not Set			arr[GRCh38] 10q22.2(74088152_75371261) hmz	zyang:zhaowei	false
chr10:79463850-80509021	true	HCC1395_BL.cyhd.cychp		LOH	10	q22.3	q23.1	1045.171	160	23	LOC729815, EIF5AL1, SFTPA2, SFTPA1, LOC105378385, BEND3P3, NUTM2B-AS1, NUTM2B, LOC642361, BMS1P21, MBL1P, SFTPD, TMEM254-AS1, TMEM254, PLAC9, ANXA11, LINC00857, LOC100130698, MAT1A, DYDC1, DYDC2, FAM213A, TSPAN14	7	SFTPA2 (178642), SFTPA1 (178630), SFTPD (178635), PLAC9 (612857), ANXA11 (602572), MAT1A (610550), DYDC1 (615154)		Cytoregions Not Set			arr[GRCh38] 10q22.3q23.1(79463850_80509021) hmz	zyang:zhaowei	false
chr10:98458437-100355570	true	HCC1395_BL.cyhd.cychp		LOH	10	q24.2	q24.31	1897.133	459	21	HPSE2, MIR6507, CNNM1, GOT1, LINC01475, NKX2-3, SLC25A28, ENTPD7, COX15, CUTC, ABCC2, DNMBP, DNMBP-AS1, CPN1, ERLIN1, CHUK, CWF19L1, SNORA12, BLOC1S2, PKD2L1, SCD	18	HPSE2 (613469), CNNM1 (607802), GOT1 (138180), NKX2-3 (606727), SLC25A28 (609767), ENTPD7 (616753), COX15 (603646), CUTC (610101), ABCC2 (601107), DNMBP (611282), CPN1 (603103), ERLIN1 (611604), CHUK (600664), CWF19L1 (616120), SNORA12 (611330), BLOC1S2 (609768), PKD2L1 (604532), SCD (604031)		Cytoregions Not Set			arr[GRCh38] 10q24.2q24.31(98458437_100355570) hmz	zyang:zhaowei	false
chr11:49329473-50692396	true	HCC1395_BL.cyhd.cychp		LOH	11	p11.12	p11.12	1362.923	172	6	LOC440040, OR4C13, OR4C12, OR4C45, LOC441601, LOC646813	0			Cytoregions Not Set			arr[GRCh38] 11p11.12(49329473_50692396) hmz	zyang:zhaowei	false
chr11:54555643-56474785	true	HCC1395_BL.cyhd.cychp		LOH	11	q11	q12.1	1919.142	413	43	OR4C46, OR4A5, TRIM48, TRIM51HP, OR4A16, OR4A15, OR4C15, OR4C16, OR4C11, OR4P4, OR4S2, OR4C6, OR5D13, OR5D14, OR5L1, OR5D18, OR5L2, OR5D16, TRIM51, OR5W2, OR5I1, OR10AG1, OR7E5P, OR5F1, OR5AS1, OR8I2, OR8H2, OR8H3, OR8J3, OR8K5, OR5J2, OR5T2, OR5T3, OR5T1, OR8H1, OR8K3, OR8K1, OR8J1, OR8U8, OR8U1, OR5R1, OR5M9, OR5M3	3	OR4C46 (614273), OR5I1 (608496), OR5F1 (608492)		Cytoregions Not Set			arr[GRCh38] 11q11q12.1(54555643_56474785) hmz	zyang:zhaowei	false
chr12:42972776-44533557	true	HCC1395_BL.cyhd.cychp		LOH	12	q12	q12	1560.781	357	6	ADAMTS20, PUS7L, IRAK4, TWF1, TMEM117, NELL2	4	ADAMTS20 (611681), IRAK4 (606883), TWF1 (610932), NELL2 (602320)		Cytoregions Not Set			arr[GRCh38] 12q12(42972776_44533557) hmz	zyang:zhaowei	false
chr12:87511502-88945352	true	HCC1395_BL.cyhd.cychp		LOH	12	q21.32	q21.33	1433.85	301	6	MKRN9P, C12orf50, C12orf29, CEP290, TMTC3, KITLG	2	CEP290 (610142), KITLG (184745)		Cytoregions Not Set			arr[GRCh38] 12q21.32q21.33(87511502_88945352) hmz	zyang:zhaowei	false
chr13:61104614-62821331	true	HCC1395_BL.cyhd.cychp		LOH	13	q21.2	q21.31	1716.717	391	6	MIR3169, PCDH20, LOC101926951, LINC00358, LINC01075, LINC00448	1	PCDH20 (614449)		Cytoregions Not Set			arr[GRCh38] 13q21.2q21.31(61104614_62821331) hmz	zyang:zhaowei	false
chr14:105877029-106293172	true	HCC1395_BL.cyhd.cychp	0.0	Loss	14	q32.33	q32.33	416.143	64	3	KIAA0125, ADAM6, LINC00226	1	KIAA0125 (616623)		Cytoregions Not Set			arr[GRCh38] 14q32.33(105877029_106293172)x0	zyang:zhaowei	false
chr14:31059865-32135793	true	HCC1395_BL.cyhd.cychp		LOH	14	q12	q12	1075.928	274	9	AP4S1, HECTD1, HEATR5A, LOC101927124, DTD2, GPR33, NUBPL, ARHGAP5-AS1, ARHGAP5	4	AP4S1 (607243), GPR33 (610118), NUBPL (613621), ARHGAP5 (602680)		Cytoregions Not Set			arr[GRCh38] 14q12(31059865_32135793) hmz	zyang:zhaowei	false
chr15:28033459-29305116	true	HCC1395_BL.cyhd.cychp		LOH	15	q13.1	q13.1	1271.657	199	18	OCA2, HERC2, MIR1268A, GOLGA8F, GOLGA8G, MIR4509-3, MIR4509-2, MIR4509-1, HERC2P9, GOLGA8M, LOC101928042, WHAMMP2, LOC100289656, PDCD6IPP2, GOLGA6L7P, APBA2, FAM189A1, NSMCE3	4	OCA2 (611409), HERC2 (605837), APBA2 (602712), NSMCE3 (608243)		Cytoregions Not Set			arr[GRCh38] 15q13.1(28033459_29305116) hmz	zyang:zhaowei	false
chr15:41643727-42648001	true	HCC1395_BL.cyhd.cychp		LOH	15	q15.1	q15.2	1004.274	237	25	MGA, MIR626, MAPKBP1, JMJD7, JMJD7-PLA2G4B, PLA2G4B, SPTBN5, MIR4310, LOC105370792, EHD4, EHD4-AS1, PLA2G4E-AS1, PLA2G4E, PLA2G4D, PLA2G4F, VPS39, MIR627, TMEM87A, GANC, CAPN3, ZNF106, SNAP23, LRRC57, HAUS2, STARD9	12	MGA (616061), MAPKBP1 (616786), PLA2G4B (606088), SPTBN5 (605916), EHD4 (605892), PLA2G4D (612864), VPS39 (612188), GANC (104180), CAPN3 (114240), SNAP23 (602534), HAUS2 (613429), STARD9 (614642)		Cytoregions Not Set			arr[GRCh38] 15q15.1q15.2(41643727_42648001) hmz	zyang:zhaowei	false
chr15:42827196-44188117	true	HCC1395_BL.cyhd.cychp		LOH	15	q15.2	q15.3	1360.921	218	30	TTBK2, UBR1, TMEM62, CCNDBP1, EPB42, TGM5, TGM7, LCMT2, ADAL, ZSCAN29, TUBGCP4, TP53BP1, MAP1A, PPIP5K1, CKMT1B, STRC, CATSPER2, CKMT1A, CATSPER2P1, PDIA3, ELL3, SERF2, SERF2-C15ORF63, MIR1282, SERINC4, HYPK, MFAP1, WDR76, FRMD5, PIN4P1	22	TTBK2 (611695), UBR1 (605981), CCNDBP1 (607089), EPB42 (177070), TGM5 (603805), TGM7 (606776), LCMT2 (611246), TUBGCP4 (609610), TP53BP1 (605230), MAP1A (600178), PPIP5K1 (610979), CKMT1B (123290), STRC (606440), CATSPER2 (607249), CKMT1A (613415), PDIA3 (602046), ELL3 (609885), SERF2 (605054), SERINC4 (614550), HYPK (612784), MFAP1 (600215), FRMD5 (616309)		Cytoregions Not Set			arr[GRCh38] 15q15.2q15.3(42827196_44188117) hmz	zyang:zhaowei	false
chr15:71632734-72970350	true	HCC1395_BL.cyhd.cychp		LOH	15	q23	q24.1	1337.616	256	21	THSD4, THSD4-AS2, NR2E3, MYO9A, SENP8, GRAMD2, PKM, PARP6, CELF6, HEXA, HEXA-AS1, TMEM202, LOC105370888, ARIH1, MIR630, LOC102723640, GOLGA6B, HIGD2B, BBS4, ADPGK, ADPGK-AS1	10	THSD4 (614476), NR2E3 (604485), MYO9A (604875), SENP8 (608659), PKM (179050), CELF6 (612681), HEXA (606869), ARIH1 (605624), BBS4 (600374), ADPGK (611861)		Cytoregions Not Set			arr[GRCh38] 15q23q24.1(71632734_72970350) hmz	zyang:zhaowei	false
chr16:21291803-22811287	true	HCC1395_BL.cyhd.cychp		LOH	16	p12.2	p12.2	1519.484	148	27	CRYM, CRYM-AS1, SNX29P1, NPIPB3, LOC100190986, SMG1P3, MIR3680-1, MIR3680-2, SLC7A5P2, LOC101927814, METTL9, IGSF6, OTOA, RRN3P1, NPIPB4, UQCRC2, PDZD9, C16orf52, VWA3A, EEF2K, POLR3E, CDR2, MFSD13B, RRN3P3, SMG1P1, NPIPB5, LOC653786	7	CRYM (123740), METTL9 (609388), IGSF6 (606222), OTOA (607038), UQCRC2 (191329), EEF2K (606968), CDR2 (117340)		Cytoregions Not Set			arr[GRCh38] 16p12.2(21291803_22811287) hmz	zyang:zhaowei	false
chr16:33794294-35986173	true	HCC1395_BL.cyhd.cychp		LOH	16	p11.2	p11.1	2191.879	170	6	LINC00273, UBE2MP1, LINC01566, FRG2DP, TP53TG3HP, FLJ26245	0			Cytoregions Not Set			arr[GRCh38] 16p11.2p11.1(33794294_35986173) hmz	zyang:zhaowei	false
chr16:34209380-35237315	true	HCC1395_BL.cyhd.cychp	1.0	Loss	16	p11.2	p11.2	1027.935	192	1	UBE2MP1	0			Cytoregions Not Set			arr[GRCh38] 16p11.2(34209380_35237315)x1	zyang:zhaowei	false
chr16:35521429-69943494	true	HCC1395_BL.cyhd.cychp	1.0	Loss	16	p11.1	q22.1	34422.065	20636	249	FLJ26245, ANKRD26P1, SHCBP1, VPS35, ORC6, MYLK3, C16orf87, GPT2, DNAJA2, NETO2, ITFG1-AS1, ITFG1, PHKB, LOC100507534, LOC101927132, ABCC12, ABCC11, LONP2, LOC100507577, SIAH1, N4BP1, CBLN1, C16orf78, ZNF423, CNEP1R1, HEATR3, PAPD5, ADCY7, MIR6771, BRD7, NKD1, SNX20, LOC101927272, NOD2, CYLD, MIR3181, MIR548AI, LOC101927334, SALL1, LINC01571, C16orf97, LINC00919, LOC102467079, CASC22, TOX3, CASC16, LOC105371267, CHD9, LOC643802, LOC102723373, RBL2, AKTIP, RPGRIP1L, FTO, FTO-IT1, LOC100996338, IRX3, LOC100996345, LOC101927480, CRNDE, IRX5, IRX6, MMP2, LPCAT2, CAPNS2, SLC6A2, CES1P2, CES1P1, CES1, CES5A, LOC283856, GNAO1, DKFZP434H168, MIR3935, AMFR, NUDT21, OGFOD1, BBS2, MT4, MT3, MT2A, MT1L, MT1E, MT1M, MT1JP, MT1A, MT1DP, MT1B, MT1F, MT1G, MT1H, MT1IP, MT1X, NUP93, MIR138-2, SLC12A3, MIR6863, HERPUD1, CETP, NLRC5, CPNE2, FAM192A, RSPRY1, ARL2BP, PLLP, CCL22, CX3CL1, CCL17, CIAPIN1, COQ9, POLR2C, DOK4, CCDC102A, ADGRG5, ADGRG1, ADGRG3, DRC7, KATNB1, KIFC3, MIR6772, LOC388282, CNGB1, TEPP, ZNF319, USB1, MMP15, CFAP20, CSNK2A2, CCDC113, PRSS54, GINS3, NDRG4, SETD6, CNOT1, SNORA46, SNORA50A, SLC38A7, GOT2, APOOP5, LOC101927580, LOC729159, MIR4426, CDH8, CDH11, LOC101927650, LINC00922, CDH5, LINC00920, BEAN1, BEAN1-AS1, TK2, CKLF, CKLF-CMTM1, CMTM1, CMTM2, CMTM3, CMTM4, DYNC1LI2, LOC106699570, TERB1, NAE1, CA7, PDP2, CDH16, RRAD, FAM96B, CES2, CES3, CES4A, CBFB, C16orf70, B3GNT9, TRADD, FBXL8, HSF4, NOL3, KIAA0895L, EXOC3L1, E2F4, ELMO3, MIR328, LRRC29, TMEM208, FHOD1, SLC9A5, PLEKHG4, KCTD19, LRRC36, TPPP3, ZDHHC1, HSD11B2, ATP6V0D1, AGRP, LOC100505942, FAM65A, CTCF, CARMIL2, ACD, PARD6A, ENKD1, C16orf86, GFOD2, RANBP10, TSNAXIP1, CENPT, THAP11, NUTF2, EDC4, NRN1L, PSKH1, CTRL, PSMB10, LCAT, SLC12A4, DPEP3, DPEP2, LOC100131303, DDX28, DUS2, NFATC3, ESRP2, MIR6773, PLA2G15, SLC7A6, SLC7A6OS, PRMT7, SMPD3, ZFP90, CDH3, CDH1, MIR7641-2, TANGO6, HAS3, CHTF8, UTP4, SNTB2, VPS4A, PDF, COG8, NIP7, TMED6, TERF2, CYB5B, MIR1538, NFAT5, NQO1, NOB1, WWP2, MIR140	166	SHCBP1 (611027), VPS35 (601501), ORC6 (607213), MYLK3 (612147), GPT2 (138210), DNAJA2 (611322), NETO2 (607974), ITFG1 (611803), PHKB (172490), ABCC12 (607041), ABCC11 (607040), SIAH1 (602212), CBLN1 (600432), ZNF423 (604557), CNEP1R1 (616869), HEATR3 (614951), PAPD5 (605540), ADCY7 (600385), NKD1 (607851), SNX20 (613281), NOD2 (605956), CYLD (605018), SALL1 (602218), TOX3 (611416), CHD9 (616936), RBL2 (180203), AKTIP (608483), RPGRIP1L (610937), FTO (610966), IRX3 (612985), CRNDE (615624), IRX5 (606195), IRX6 (606196), MMP2 (120360), LPCAT2 (612040), CAPNS2 (616767), SLC6A2 (163970), CES1 (114835), GNAO1 (139311), AMFR (603243), NUDT21 (604978), OGFOD1 (615857), BBS2 (606151), MT4 (606206), MT3 (139255), MT2A (156360), MT1L (156358), MT1E (156351), MT1M (156357), MT1JP (156356), MT1A (156350), MT1B (156349), MT1F (156352), MT1G (156353), MT1H (156354), MT1IP (156355), MT1X (156359), NUP93 (614351), MIR138-2 (613395), SLC12A3 (600968), HERPUD1 (608070), CETP (118470), NLRC5 (613537), CPNE2 (604206), RSPRY1 (616585), ARL2BP (615407), PLLP (600340), CCL22 (602957), CX3CL1 (601880), CCL17 (601520), CIAPIN1 (608943), COQ9 (612837), POLR2C (180663), DOK4 (608333), ADGRG5 (616965), ADGRG1 (604110), KATNB1 (602703), KIFC3 (604535), CNGB1 (600724), TEPP (610264), USB1 (613276), MMP15 (602261), CSNK2A2 (115442), CCDC113 (616070), GINS3 (610610), NDRG4 (614463), SETD6 (616424), CNOT1 (604917), SLC38A7 (614236), GOT2 (138150), CDH8 (603008), CDH11 (600023), CDH5 (601120), BEAN1 (612051), TK2 (188250), CKLF (616074), CMTM1 (607884), CMTM2 (607885), CMTM3 (607886), CMTM4 (607887), DYNC1LI2 (611406), NAE1 (603385), CA7 (114770), PDP2 (615499), CDH16 (603118), RRAD (179503), FAM96B (614778), CES2 (605278), CES3 (605279), CBFB (121360), TRADD (603500), FBXL8 (609077), HSF4 (602438), NOL3 (605235), EXOC3L1 (614117), E2F4 (600659), ELMO3 (606422), MIR328 (613701), FHOD1 (606881), SLC9A5 (600477), PLEKHG4 (609526), TPPP3 (616957), HSD11B2 (614232), ATP6V0D1 (607028), AGRP (602311), CTCF (604167), CARMIL2 (610859), ACD (609377), PARD6A (607484), RANBP10 (614031), TSNAXIP1 (607720), CENPT (611510), THAP11 (609119), NUTF2 (605813), EDC4 (606030), PSKH1 (177015), CTRL (118888), PSMB10 (176847), LCAT (606967), SLC12A4 (604119), DPEP3 (609926), DPEP2 (609925), DDX28 (607618), DUS2 (609707), NFATC3 (602698), ESRP2 (612960), PLA2G15 (609362), SLC7A6 (605641), PRMT7 (610087), SMPD3 (605777), ZFP90 (609451), CDH3 (114021), CDH1 (192090), HAS3 (602428), CHTF8 (613202), UTP4 (607456), SNTB2 (600027), VPS4A (609982), COG8 (606979), TERF2 (602027), CYB5B (611964), NFAT5 (604708), NQO1 (125860), NOB1 (613586), WWP2 (602308), MIR140 (611894)		Cytoregions Not Set			arr[GRCh38] 16p11.1q22.1(35521429_69943494)x1	zyang:zhaowei	false
